province,year,epi_week_cutoff,cases_se01_14,cases_se15,cases_total_se15
GUAYAS,2025,15,2261,317,2578
NAPO,2025,15,2121,69,2190
MANABI,2025,15,1958,225,2183
ZAMORA CHINCHIPE,2025,15,1315,117,1432
ORELLANA,2025,15,1296,23,1319
MORONA SANTIAGO,2025,15,1010,76,1086
ESMERALDAS,2025,15,827,68,895
LOS RIOS,2025,15,802,47,849
SUCUMBIOS,2025,15,807,42,849
PASTAZA,2025,15,737,22,759
EL ORO,2025,15,446,79,525
SANTO DOMINGO,2025,15,327,22,349
LOJA,2025,15,117,19,136
PICHINCHA,2025,15,126,6,132
SANTA ELENA,2025,15,117,11,128
BOLIVAR,2025,15,106,9,115
CAÑAR,2025,15,86,13,99
AZUAY,2025,15,72,11,83
COTOPAXI,2025,15,47,8,55
CHIMBORAZO,2025,15,24,1,25
TUNGURAHUA,2025,15,10,0,10
IMBABURA,2025,15,7,0,7
CARCHI,2025,15,0,6,6
GALAPAGOS,2025,15,4,0,4
